id,text
1,"I was charged twice for my Pro subscription this month please refund the duplicate charge."
2,"I can't log in. My password reset email never arrives, even after three tries."
3,"How do I export my project data to a CSV file?"
4,"The Save button on the settings page does nothing when I click it no error, it just doesn't respond."
5,"Your API returns a 500 error on POST /orders and my order totals are coming back wrong."
6,"Your entire website has been down for the last 40 minutes and nobody on my team can work."
7,"It would be great if you added a dark mode to the dashboard."
8,"Hi, I just wanted to reach out because I have a question about your service."
9,"This is absolutely ridiculous!!! There is a typo on your pricing page it says 'montly' instead of 'monthly'. Fix it."
10,"help"
11,"It's not working."
12,"I was double charged AND now I can't log in to update my payment details please help with both."
13,"If this isn't resolved today I am cancelling my subscription and moving to a competitor."
14,"No puedo iniciar sesión en mi cuenta y necesito acceder a mis facturas."
15,"All of my saved documents vanished from my account overnight this is critical work I need back."
16,"Where can I find a copy of last month's invoice for my records?"
17,"I lost my phone and can't get past two-factor authentication to sign in."
18,"How can I connect your app to our Slack workspace?"
19,"Please consider adding a Zapier integration so we can automate exporting our tickets."
20,"The reports page takes over 30 seconds to load and sometimes times out completely."
21,"I can't log in AND I was double-charged this month please sort out both."
22,"Your checkout throws 500 errors, and separately the FAQ page has a typo."
23,"The whole dashboard won't load at all, and while you're at it please add a dark mode."
